Itga4,Itga7,Egfr,Flt1,Mxd1,Cbl,Ksr1,Vangl2,Cblb,Rabif,Tomm34,Cd2ap,Vangl1,Mlx,Tomm40l,Ppp2r1b,Dvl3,Smarce1,Ets2,Smarca4,Dvl1,Axin1,Dvl2,Sh3kbp1,Pdgfrb,Itga5,Ddx6,Nfkb2,Fxr2,Crk,Smarcb1,Trim8,Cdkn1a,Poldip3,Ccnd1,Col4a1,Fam120a,Trap1,Sec61a1,Itgb5,Tomm40,Myc,Pdia4,Igfbp4,Ctnna1,Vat1,Zfp36l1,Slc25a1,Eif3b,Trim28,Ppp2ca,Itgb1,Cyr61,Pdia3,Serpinh1,Fbln2,Eif4b,Psat1,Col1a1,Bgn
0,4,1,1,8,5,2,7,7,2,6,10,4,13,4,16,18,9,13,8,15,11,23,12,18,48,50,16,42,4,14,49,13,14,26,45,34,48,16,1,53,22,,,,147,7,66,22,51,34,109,101,16,91,77,50,85,308,127
0,0,0,0,15,2,3,20,9,3,15,14,1,8,12,9,31,9,6,8,21,9,35,18,5,39,32,6,14,24,9,9,20,21,101,94,20,97,14,1,35,31,,,,48,36,14,4,51,47,132,122,46,31,74,105,80,161,137
1,5,1,2,15,13,6,20,12,9,15,21,1,13,17,16,44,11,4,7,31,20,67,24,15,64,65,20,45,29,20,4,37,15,171,37,47,111,23,17,68,43,,,,130,57,6,45,71,81,118,174,66,96,88,194,184,380,153
0,1,1,8,10,40,7,15,8,14,33,12,4,33,16,19,47,10,8,20,43,28,79,22,13,69,24,60,85,36,31,12,28,17,215,43,83,128,21,6,73,56,,,,107,132,46,76,111,121,207,171,97,135,140,118,298,162,389
1,1,0,1,12,8,4,15,3,11,24,14,7,19,8,25,41,13,7,6,25,9,40,13,23,50,38,20,54,20,19,9,23,21,167,42,50,70,17,15,25,52,,,,23,44,37,54,67,73,93,74,15,118,115,67,180,273,237
0,1,0,5,16,27,1,7,2,2,15,15,6,7,3,23,36,7,23,9,11,14,40,4,13,37,66,7,41,14,11,30,22,24,66,38,51,40,13,12,20,36,,,,72,81,21,37,92,52,126,76,63,111,102,41,150,198,136
0,0,0,1,9,16,0,14,1,2,14,17,0,10,4,11,29,8,7,6,17,13,44,9,6,50,62,4,45,10,9,10,28,25,60,78,29,50,19,5,31,45,,,,33,38,10,13,70,57,127,121,88,77,106,54,94,235,132
0,2,0,1,9,11,1,14,6,12,18,13,12,16,14,17,32,10,8,6,32,10,64,9,12,48,79,16,46,15,24,11,29,26,70,37,43,69,18,10,30,29,,,,37,57,27,28,83,63,191,92,103,111,56,79,271,178,129
0,2,0,5,11,3,4,20,2,8,23,9,4,16,9,17,30,16,4,6,18,18,37,17,13,49,114,17,33,18,28,12,31,32,50,55,43,99,8,24,81,64,,,,124,73,6,50,57,39,146,116,41,142,98,62,200,262,198
0,0,0,1,6,13,4,6,2,6,19,13,5,16,10,13,38,12,8,3,22,15,33,13,6,35,45,7,30,25,17,25,18,37,91,76,42,44,22,9,64,13,,,,73,54,10,14,54,55,89,89,74,63,87,50,207,169,66
1,2,0,1,17,13,6,11,2,12,25,23,12,27,13,24,68,25,13,11,39,19,30,30,21,74,41,20,68,22,21,7,30,26,114,45,70,49,57,1,64,39,,,,82,53,45,56,138,198,141,102,58,131,175,91,336,535,542
2,2,0,0,15,9,6,9,5,9,15,22,3,17,19,17,32,16,5,12,30,13,29,16,14,56,68,11,50,11,21,11,21,26,12,49,32,64,22,11,59,95,,,,78,36,28,23,71,81,130,137,35,102,110,83,204,339,179
